k,comparison,n_participants,mean_gap,std_gap,median_gap,wilcoxon_statistic,p_value,alternative,note,p_value_holm,is_significant_holm,correction_method
1,anyturn_target_vs_target,10,0.01885443832705496,0.033606653760565534,0.0,6.0,0.054404715020272845,greater,,0.054404715020272845,False,Holm across k for target vs any-turn target
3,anyturn_target_vs_target,10,0.028613796615825016,0.03717820988919019,0.011363636363636367,15.0,0.021557223391537678,greater,,0.043114446783075355,True,Holm across k for target vs any-turn target
10,anyturn_target_vs_target,10,0.05386943178525329,0.05728120631713016,0.04356060606060608,28.0,0.008980238763039381,greater,,0.026940716289118143,True,Holm across k for target vs any-turn target
